post_code,post_date,district,square,bedroom,bathroom,house_direction,has_balcony,has_furniture,has_legal_info,is_hurried,floor,has_basement,house_type,price
285164,"[datetime.datetime(2023, 12, 10, 17, 11)]",Nhà Bè,150.0,2.0,1.0,đông,False,False,True,True,0,False,nhà riêng,3.899
285163,"[datetime.datetime(2023, 12, 10, 18, 40)]",Tân Bình,51.0,,,bắc,False,False,True,False,3,False,nhà riêng,5.0
285162,"[datetime.datetime(2023, 12, 10, 18, 56)]",Phú Nhuận,45.0,2.0,2.0,,True,False,True,False,2,False,nhà riêng,4.6
285161,"[datetime.datetime(2023, 12, 10, 20, 49)]",Quận 5,41.0,,,,False,False,True,True,2,False,nhà riêng,7.35
285142,"[datetime.datetime(2023, 12, 8, 9, 42)]",Thủ Đức,180.0,,,đông,False,False,False,False,0,False,nhà riêng,19.0
285135,"[datetime.datetime(2023, 12, 8, 10, 31)]",Quận 11,80.0,8.0,8.0,nam,True,False,True,False,6,True,nhà mặt phố,21.8
285129,"[datetime.datetime(2023, 12, 8, 10, 59)]",Bình Thạnh,33.0,3.0,3.0,,False,False,True,False,3,False,nhà riêng,4.0
285127,"[datetime.datetime(2023, 12, 8, 11, 42)]",Thủ Đức,118.0,,,bắc,False,False,True,False,0,False,nhà mặt phố,23.0
285118,"[datetime.datetime(2023, 12, 8, 14, 17)]",Quận 4,75.0,5.0,6.0,,False,False,True,False,5,False,nhà mặt phố,12.8
285109,"[datetime.datetime(2023, 12, 8, 14, 56)]",Quận 8,37.0,4.0,3.0,,False,False,True,True,2,False,nhà riêng,3.4
285107,"[datetime.datetime(2023, 12, 8, 15, 36)]",Quận 7,24.0,,,,False,False,False,False,2,False,nhà riêng,1.0
285102,"[datetime.datetime(2023, 12, 8, 16, 52)]",Tân Phú,85.0,7.0,3.0,,False,False,True,False,3,False,nhà riêng,8.0
285100,"[datetime.datetime(2023, 12, 8, 17, 8)]",Gò Vấp,53.0,4.0,5.0,,False,False,True,False,6,False,nhà riêng,7.39
285098,"[datetime.datetime(2023, 12, 8, 17, 56)]",Quận 2,80.0,6.0,6.0,,False,False,False,False,0,False,nhà riêng,16.0
285097,"[datetime.datetime(2023, 12, 8, 18, 0)]",Bình Thạnh,50.0,,,,True,False,True,False,0,False,nhà riêng,4.75
285087,"[datetime.datetime(2023, 12, 9, 9, 31)]",Tân Bình,40.0,,,,False,False,True,True,4,False,nhà riêng,5.5
285086,"[datetime.datetime(2023, 12, 9, 9, 56)]",Bình Thạnh,80.0,5.0,5.0,,True,False,True,False,3,False,nhà riêng,9.0
284382,"[datetime.datetime(2023, 11, 10, 15, 45)]",Bình Tân,70.0,3.0,2.0,,False,False,True,False,2,False,nhà riêng,4.7
284381,"[datetime.datetime(2023, 11, 10, 16, 24)]",Tân Phú,51.0,4.0,3.0,,False,False,True,True,2,False,nhà riêng,5.0
284377,"[datetime.datetime(2023, 11, 10, 16, 44)]",Bình Tân,46.0,3.0,3.0,đông,False,True,True,False,4,False,nhà riêng,5.2
284376,"[datetime.datetime(2023, 11, 10, 16, 54)]",Tân Phú,80.0,6.0,5.0,,False,False,True,True,6,False,nhà riêng,1.0
284373,"[datetime.datetime(2023, 11, 10, 17, 23)]",Phú Nhuận,122.6,,,,False,False,True,True,4,False,nhà riêng,3.0
