rent,price,square,bedrooms,bathrooms,balcony,house_direction,legal_info,furniture,hurried
False,2.2 tỷ,150.0,2.0,,False,đông,True,False,True
False,5 tỷ,51.0,,,False,bắc,True,False,False
False,,,2.0,2.0,True,,True,False,False
True,,,,,False,,True,False,False
False,,96.0,,,False,,True,False,False
False,3.5 tỷ,,,,False,,True,False,False
False,19 tỷ,180.0,,,False,đông,False,False,False
True,,,,,False,,True,False,False
False,15 triệu,,3.0,3.0,False,,True,False,False
False,"23,5 tỷ",118.0,,,False,bắc,True,False,False
False,,,,,False,đông,False,False,False
False,,75.0,,6.0,False,,True,False,False
False,3.4tỷ,37.0,4.0,3.0,False,,True,False,True
False,,,,,False,,False,False,False
False,"8,99 tỷ",,7.0,3.0,False,,True,False,False
False,7.39 tỷ,,4.0,5.0,False,,True,False,False
False,16 tỷ,,,,False,,False,False,False
False,4 tỷ,50.0,,,True,,True,False,False
False,5 tỷ,40.0,,,False,,True,False,True
True,"9,39 tỷ",80.0,5.0,5.0,True,,True,False,False
False,,70.0,3.0,2.0,False,,True,False,False
False,,,4.0,3.0,False,,True,False,False
False,,,3.0,3.0,False,đông,True,True,False
False,"1,5 tỷ",,,,False,,True,False,True
False,3tỉ,122.6,,,False,,True,False,False
False,,61.0,2.0,,False,,True,False,True
False,3 tỷ,,2.0,2.0,False,,True,False,False
False,4 tỷ,49.0,2.0,2.0,True,bắc,True,False,False
False,"3,33 tỷ",,2.0,2.0,False,,True,False,False
True,4 tỷ,45.0,,,False,,False,False,False
False,"3,9 tỷ",,3.0,2.0,False,,False,True,False
True,3 tỷ,76.0,,,False,,True,False,False
False,9.5 tỷ,346.0,,,False,,True,False,False
False,,,4.0,,True,,True,False,False
False,,71.0,,,False,,True,False,False
False,,64.0,3.0,,False,,True,False,False
False,3.65 tỷ,,,,False,,False,True,True
False,4 tỷ,45.0,3.0,3.0,False,tây,True,False,True
False,,,,,True,,True,False,False
False,3.x tỷ,50.0,3.0,,False,,True,False,False
False,4tỉ,,,4.0,False,,True,True,False
False,,,,4.0,False,,True,True,False
False,7 tỷ,,,,False,đông,True,True,False
False,4 tỷ,,,,False,,True,True,False
True,2 tỷ,46.0,,2.0,False,,True,False,False
False,3 tỷ,72.0,3.0,4.0,False,,True,False,False
False,,,5.0,6.0,False,,True,True,False
False,,,2.0,3.0,True,,True,False,False
False,,,,,False,,True,False,False
False,,,,,False,nam,False,False,False
False,3tỉ,,,,False,,True,False,False
False,3tỉ,30.45,,,False,,True,False,True
False,1 tỷ,,,,True,,True,False,False
False,,81.0,,,False,,True,False,False
False,4 tỷ,122.6,,,False,,True,False,False
False,,,4.0,3.0,False,,True,True,False
False,,,4.0,3.0,False,,True,True,False
True,4.8 tỷ,,5.0,4.0,True,,True,False,False
False,5 tỷ,60.0,3.0,4.0,False,,True,False,True
False,7.8 tỷ,84.0,,3.0,True,,True,False,False
False,7 tỷ,56.0,,7.0,False,,True,False,False
False,2tỷ,,,,False,đông,True,False,False
False,,120.0,5.0,5.0,False,đông,False,False,True
False,6.2tỷ,,,3.0,False,,True,False,False
False,,120.0,2.0,,False,,True,False,False
False,"29,5 tỷ",140.0,,,False,,True,False,False
False,4 tỷ,,2.0,,False,,False,False,False
False,7 tỷ,72.0,,,False,nam,False,True,True
False,,,,,False,,False,False,False
False,5 tỷ,75.0,,,True,,False,False,True
False,4 tỷ,41.0,3.0,,True,,True,False,False
False,,,,,False,đông,False,False,False
False,,72.0,4.0,,False,,True,True,False
False,1.7 tỷ,32.0,,,False,,True,True,False
False,3 tỷ,45.0,4.0,4.0,False,,True,False,False
False,"11,8 tỷ",160.0,,,False,đông,True,True,False
False,6 tỷ,183.9,,,False,,True,False,False
False,3 tỷ,52.0,3.0,2.0,False,,True,False,True
False,5.9tỷ,,,3.0,False,,True,False,False
False,9 tỷ,,4.0,3.0,False,,False,False,False
False,,,,,False,,False,False,False
False,,,3.0,3.0,False,,True,True,False
False,"5,7 tỷ",,,5.0,False,,True,False,False
True,"4,8 tỷ",,6.0,5.0,False,,False,False,False
False,,94.0,5.0,,False,,False,True,True
True,,88.0,3.0,,False,,True,False,False
False,3 tỷ,20.0,,,False,,True,False,True
False,,123.0,3.0,4.0,False,,False,True,False
False,7 tỷ,60.0,6.0,6.0,False,,True,False,False
False,6.7 tỷ,,3.0,,True,,False,False,False
False,,73.0,5.0,5.0,True,,True,False,False
False,,33.0,4.0,5.0,False,,True,False,False
False,11 tỷ,95.0,5.0,,False,,True,True,True
False,,,4.0,3.0,False,,True,False,False
False,,,,,False,,True,False,False
False,,,,3.0,False,,False,False,False
False,,,2.0,2.0,True,đông,True,False,False
False,,,2.0,2.0,True,,True,False,False
False,,,,,False,,False,True,False
False,5tỷ,,4.0,,False,,True,True,False
False,1tỷ,,4.0,5.0,False,,True,False,False
False,,90.0,,,False,tây,True,False,False
False,,,2.0,2.0,False,,True,False,True
False,"4,8 tỷ",60.0,2.0,,True,,False,False,False
False,"3,6 tỷ",50.0,,,False,,False,False,False
False,20triệu,88.6,,5.0,False,,False,True,False
False,,,6.0,5.0,False,,True,False,False
False,,,6.0,5.0,False,,True,False,False
False,,,,,False,nam,True,False,True
False,5 tỷ,,4.0,3.0,True,,True,False,False
False,,270.0,,,False,,True,False,False
False,,,,4.0,False,,True,False,True
False,,,2.0,2.0,True,,True,False,False
False,,,2.0,2.0,False,,True,False,False
True,4.7 tỷ,,5.0,5.0,False,tây,True,False,False
False,,,2.0,2.0,False,đông,True,False,False
False,,,4.0,5.0,False,,False,False,False
False,,,2.0,2.0,False,,True,False,False
False,,,,2.0,False,,False,True,False
False,,65.0,3.0,,False,nam,True,False,False
True,"4,2 tỷ",84.0,,,False,,False,False,False
False,3tỉ,,,3.0,True,tây,True,True,False
False,"6,5 tỷ",55.0,,,False,tây,True,True,False
False,,,,4.0,False,,True,False,False
False,4 tỷ,,3.0,3.0,True,,True,False,False
False,,,,,False,,False,True,False
False,,,,,False,,False,True,False
False,4.9 tỷ,64.0,2.0,2.0,False,nam,False,False,True
True,"4,1 tỷ",52.0,2.0,2.0,False,đông,False,False,False
True,,,,,False,,True,False,False
False,,,3.0,2.0,False,,True,False,False
False,,,,2.0,False,,True,False,False
False,,58.0,,,False,,True,False,False
False,6.7 tỷ,140.0,3.0,,False,,True,True,False
False,5 tỷ,280.0,5.0,4.0,False,,True,False,False
False,7 tỷ,,3.0,,True,,False,False,False
False,"5,8 tỷ",60.6,3.0,3.0,False,tây,True,False,False
False,"5,8 tỷ",60.6,3.0,3.0,False,tây,True,False,False
False,8.1 tỷ,65.0,2.0,,True,,True,True,False
False,,,,,True,,False,False,False
False,16.8 tỷ,160.0,,2.0,False,,True,False,False
False,14 tỷ,160.0,,,False,,True,False,False
False,,,2.0,2.0,True,,True,False,False
False,,130.0,,,False,,True,False,False
False,3 tỷ,48.0,,,False,,True,False,False
False,2 tỷ,,,,False,,False,False,False
False,2 tỷ,,,,False,,False,False,False
False,,,3.0,3.0,False,,False,True,False
True,5.2 tỷ,110.0,6.0,5.0,True,,True,False,False
False,4 tỷ,45.0,3.0,3.0,True,,True,False,False
False,,,,,False,,True,True,False
False,,53.0,,3.0,True,,True,False,False
False,,,4.0,3.0,True,,True,False,False
False,,70.0,,6.0,False,,True,False,False
False,"4,35 tỷ",56.0,3.0,,False,,True,False,False
False,,43.0,,3.0,False,,True,True,False
False,,,4.0,,False,,True,False,False
False,,50.0,,3.0,True,,True,False,False
False,,110.0,,,False,,False,True,True
False,,,,,True,,False,False,False
False,,,3.0,,False,,True,True,False
False,,,3.0,2.0,False,,True,False,False
False,,,,,False,nam,True,True,False
False,6.8 tỷ,,,3.0,False,,False,False,False
False,7 tỷ,,,,False,,False,False,False
False,,,3.0,,False,,True,True,False
True,1tỷ,30.0,,,False,,True,False,False
False,,,4.0,4.0,True,,True,False,False
True,"4,5 tỷ",71.0,,,False,đông,False,False,False
True,1tỷ,30.0,,,False,,True,False,False
False,5.6 tỷ,,,,False,đông,False,False,False
False,7.2 tỷ,,,,False,đông,False,False,False
False,5.6 tỷ,,,,False,đông,False,False,False
False,,,,,False,,False,False,False
False,5 tỷ,,,,False,đông,False,False,False
False,7.8 tỷ,,,,False,đông,False,False,False
False,,,,,False,,True,False,False
False,5.75 tỷ,,,,False,đông,False,False,False
False,2 tỷ,,,2.0,False,,True,False,False
False,6.15 tỷ,,,,False,đông,False,False,False
False,8 tỷ,,,4.0,False,tây,True,True,False
False,6 tỷ,,,,False,đông,False,False,False
False,5.5 tỷ,,,,False,đông,False,False,False
False,,,,,False,,False,True,False
False,4.68 tỷ,,,,False,đông,False,False,False
False,,,3.0,2.0,False,,True,False,False
False,1 tỷ,,,,False,,False,False,True
False,7 tỷ,,,3.0,False,,True,False,False
True,,,,5.0,False,,False,False,False
False,35 tỷ,200.0,,5.0,False,nam,True,False,True
False,45 tỷ,282.0,,,False,đông,True,False,True
False,5 tỷ,230.0,5.0,4.0,True,,True,False,False
False,,,,,False,,False,True,False
False,70tỷ,282.0,,,False,,True,True,True
True,20 triệu,,8.0,,False,,True,False,False
False,,110.0,,,False,,False,False,False
False,,,3.0,2.0,False,,True,False,False
False,6.6 tỷ,,3.0,3.0,False,tây,True,True,False
False,,76.0,,,False,đông,True,True,False
False,,56.0,,5.0,False,,True,True,False
False,8 tỷ,270.0,,,False,,False,False,False
False,,41.0,,,False,,True,True,False
False,,,,,True,,True,True,True
False,,,3.0,1.0,False,,True,False,False
False,6tỷ,82.0,3.0,,False,,True,False,False
False,5 tỷ,78.0,,3.0,False,,True,False,False
False,"4,7 tỷ",63.0,,,False,đông,True,False,False
False,6.x tỷ,62.0,,2.0,False,,True,True,False
False,,,1.0,4.0,False,,True,True,False
