rent,price,square,bedrooms,bathrooms,balcony,house_direction,legal_info,furniture,hurried,floors,basement
False,1.1 tỷ,,,,False,,False,False,False,0,False
False,5 tỷ,51.0,,,False,,False,False,False,3,False
False,4.x tỷ,45.0,,,False,,False,False,False,2,False
False,,,,,False,,False,False,True,0,False
False,5tỷ,96.0,,,False,,False,False,False,0,False
False,3.5 tỷ,,,,False,,False,False,False,0,False
False,19 tỷ,180.0,,,False,đông,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,4.x tỷ,33.0,,,False,,False,False,False,3,False
False,"23,5 tỷ",118.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,"12,8 tỷ",,,,False,,False,False,False,4,False
False,3.4tỷ,,,,False,,False,False,False,0,False
False,1.x tỷ,12.0,,,False,,False,False,False,0,False
False,"1,7 tỷ",,,,False,,True,False,False,0,False
False,,53.0,,,False,,True,False,False,4,False
False,16 tỷ,,,,False,,False,False,False,0,False
False,4 tỷ,50.0,,,True,,False,False,False,0,False
False,,40.0,,,False,,False,False,False,4,False
False,,80.0,5.0,5.0,False,,False,False,False,0,False
False,,70.0,,,False,,False,False,False,0,False
False,5 tỷ,51.0,,,False,,False,False,True,0,False
False,"5,2 tỷ",,,,False,,False,True,False,0,False
False,11 tỷ,80.0,,,False,,False,False,False,5,False
False,,,,,False,,False,False,True,0,False
False,,60.0,,,False,,False,False,False,0,False
False,3 tỷ,,,,False,,False,False,False,2,False
False,,48.0,,,False,,False,False,False,0,False
False,"3,33 tỷ",,,,False,,False,False,False,0,False
False,4 tỷ,45.0,,,False,,True,False,False,0,False
False,3.9 tỷ,40.0,3.0,,False,,False,False,False,0,False
False,3 tỷ,76.0,,,False,,False,False,False,0,False
False,9.5 tỷ,346.0,,,False,,False,False,False,6,False
False,5 tỷ,50.0,4.0,,False,,False,False,False,3,False
False,,90.0,,,False,,False,False,False,0,False
False,4 tỷ,64.0,,,False,,True,False,False,3,False
False,,,,,False,,False,False,False,2,False
False,4 tỷ,45.0,,,False,,False,False,False,3,False
False,3.5 tỷ,,,,False,,False,False,False,0,False
False,3.x tỷ,50.0,3.0,,False,,False,False,False,0,False
False,,,,,False,bắc,False,True,True,0,False
False,,,,,False,,False,False,False,0,False
False,7tỷ,,,,False,,False,False,True,0,False
False,,,,,False,,False,False,False,4,False
False,2 tỷ,46.0,,,False,,False,False,False,0,False
False,3 tỷ,72.0,3.0,4.0,False,,False,False,False,3,False
False,,,,,False,,False,False,False,5,False
False,5.x tỷ,55.0,,,False,,False,False,False,2,False
False,3.5 tỷ,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,True,0,False
False,,,,,False,,False,False,True,0,False
False,,,,,False,,False,False,False,0,False
False,6.x tỷ,81.0,,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,0,False
False,5.3tỷ,41.0,,,False,,False,False,True,4,False
False,5.3tỷ,41.0,,,False,,False,False,True,4,False
False,,,5.0,4.0,False,,False,False,False,3,False
False,5 tỷ,60.0,3.0,4.0,False,,True,False,True,0,False
False,7.8 tỷ,84.0,4.0,,False,,False,False,False,3,False
False,,56.0,,,False,,False,False,False,0,False
False,2 tỷ,30.0,,,False,đông,False,False,False,0,False
False,,120.0,5.0,6.0,False,,False,False,False,5,False
False,6.2tỷ,,,,False,,False,False,True,0,False
False,,,,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,0,True
False,4 tỷ,,,,False,,False,False,False,0,False
False,7 tỷ,,,,False,nam,False,True,True,0,False
False,4 tỷ,,,,False,,False,False,False,4,False
False,,,,,False,,True,False,False,0,False
False,4 tỷ,41.0,3.0,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,4,False
False,1.7 tỷ,32.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,"11,8 tỷ",160.0,,,False,,False,False,False,3,False
False,,,,,False,,False,False,False,0,False
False,,52.0,,,False,,False,False,True,2,False
False,5.9tỷ,,4.0,,False,,False,False,False,0,False
False,9 tỷ,,4.0,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,4.x tỷ,,,,False,,False,False,False,4,False
False,"5,7 tỷ",,,,False,,False,False,False,0,False
False,"4,8 tỷ",,6.0,,False,,False,False,False,3,False
False,,,,,False,,False,False,False,4,False
False,,,,,False,,True,False,False,0,False
False,3 tỷ,,,,False,,False,False,False,0,False
False,6.x tỷ,123.45,,,False,,False,False,False,3,False
False,7 tỷ,60.0,6.0,,False,,False,False,False,5,False
False,6.7tỷ,,,,False,,False,True,False,0,False
False,,,5.0,5.0,True,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,11 tỷ,95.0,,,False,,False,False,False,4,False
False,5.x tỷ,50.0,,,False,,False,False,False,4,False
False,5.4 tỷ,,,,False,,False,False,False,0,False
False,2tỷ,45.8,,,False,,False,False,False,0,False
False,5tỷ,,,,False,,False,False,False,0,False
False,3.x tỷ,,,,False,,False,False,False,2,False
False,,,,,False,,False,False,False,4,False
False,,,,,False,,False,True,False,0,False
False,6tỷ,,,,False,,False,False,False,0,False
False,,90.0,,,False,tây,False,False,False,0,False
False,4 tỷ,,,,False,,False,False,False,2,False
False,"4,8 tỷ",60.0,,,False,,False,False,False,0,False
