,url,title,news_code,post_date,district,price,square,bedroom,bathroom
0,https://batdongsan.vn/chua-toi-30trm2-hang-ngop-bank-bao-dau-tu-ha-chao-11-ty-r285164,Chưa tới 30tr/m2 - Hàng ngộp bank BAO ĐẦU TƯ - HẠ CHÀO 1.1 TỶ,[285164],"[datetime.datetime(2023, 12, 10, 17, 11)]",Nhà Bè,3899000000.0,150.0,2.0,1.0
1,https://batdongsan.vn/ban-nha-hxh-au-co-phuong-9-tan-binh-51m2-3-tang-gia-5-ty-nhinh-r285163,"Bán nhà HXH Âu Cơ Phường 9 Tân Bình, 51m2 3 Tầng, giá 5 tỷ nhỉnh",[285163],"[datetime.datetime(2023, 12, 10, 18, 40)]",Tân Bình,5.5,51.0,,
2,https://batdongsan.vn/sat-mat-tien-phan-dang-luu-phuong-7-phu-nhuan-2-tang-btct-45m2-4x-ty-r285162,"SÁT MẶT TIỀN PHAN ĐĂNG LƯU, PHƯỜNG 7, PHÚ NHUẬN, 2 TẦNG BTCT, 45M2, 4.x TỶ",[285162],"[datetime.datetime(2023, 12, 10, 18, 56)]",Phú Nhuận,4.6,45.0,2.0,2.0
3,https://batdongsan.vn/chu-gap-ban-truoc-tet-le-hong-phong-quan-5-ra-mat-tien-duong-15m-r285161,CHỦ GẤP BÁN TRƯỚC TẾT LÊ HỒNG PHONG QUẬN 5 RA MẶT TIỀN ĐƯỜNG 15M,[285161],"[datetime.datetime(2023, 12, 10, 20, 49)]",Quận 5,7.35,41.0,,
4,https://batdongsan.vn/luy-ban-bichtan-phu-dien-tich-khung-96m2-43225m-chi-5tyx-r285159,"LŨY BÁN BÍCH,TÂN PHÚ-DIỆN TÍCH KHỦNG 96M2 ( 4.3*22.5M)???? CHỈ 5TỶX",[285159],"[datetime.datetime(2023, 12, 7, 14, 13)]",Tân Phú,,96.0,2.0,1.0
5,https://batdongsan.vn/ban-nha-moi-dep-7-x-13-chi-35-ty-hem-xe-hoi-chot-r285145,"✅ BÁN NHÀ MỚI ĐẸP 7 X 13, CHỈ 3.5 TỶ, HẺM XE HƠI. CHỐT",[285145],"[datetime.datetime(2023, 12, 8, 9, 39)]",Thủ Đức,,,3.0,3.0
6,https://batdongsan.vn/ban-nha-mat-tien-duong-kha-van-can-p-linh-dong-dt-180m2-gia-19-ty-tl-r285142,"Bán Nhà Mặt tiền đường Kha Vạn Cân, P. Linh Đông, dt 180m2 giá 19 tỷ TL",[285142],"[datetime.datetime(2023, 12, 8, 9, 42)]",Thủ Đức,19.0,180.0,,
7,https://batdongsan.vn/truong-duc-toan-r285135,Trương Đức Toàn,[285135],"[datetime.datetime(2023, 12, 8, 10, 31)]",Quận 11,21.8,80.0,8.0,8.0
8,https://batdongsan.vn/sat-mat-tien-bach-dang-phuong-14-binh-thanh-3-tang-btct-33m2-4x-ty-r285129,"SÁT MẶT TIỀN BẠCH ĐẰNG, PHƯỜNG 14, BÌNH THẠNH, 3 TẦNG BTCT, 33M2, 4.x TỶ",[285129],"[datetime.datetime(2023, 12, 8, 10, 59)]",Bình Thạnh,4.0,33.0,3.0,3.0
9,https://batdongsan.vn/ban-nha-2-mat-tien-duong-pham-van-dong-thu-duc-118m2-full-tho-cu-235-ty-r285127,"Bán nhà 2 mặt tiền đường Phạm Văn Đồng, Thủ Đức - 118m2 - full thổ cư - 23,5 tỷ",[285127],"[datetime.datetime(2023, 12, 8, 11, 42)]",Thủ Đức,19.0,118.0,,
10,https://batdongsan.vn/cua-nhua-gia-re-lap-dat-phong-ngu-va-toilet-cua-nhua-dai-loan-r285126,Cửa nhựa giá rẻ lắp đặt phòng ngủ và Toilet | Cửa nhựa Đài Loan,[285126],"[datetime.datetime(2023, 12, 8, 11, 53)]",Thủ Đức,,,,
11,https://batdongsan.vn/nha-mat-tien-khu-sam-uat-quan-4-4-tang-ngay-nga-3-nguyen-tat-thanh-gia-dau-tu-cuc-tot-128-ty-r285118,"NHÀ MẶT TIỀN KHU SẦM UẤT QUẬN 4, 4 TẦNG, NGAY NGÃ 3 NGUYỄN TẤT THÀNH, GIÁ ĐẦU TƯ CỰC TỐT 12,8 TỶ",[285118],"[datetime.datetime(2023, 12, 8, 14, 17)]",Quận 4,12.8,75.0,5.0,6.0
12,https://batdongsan.vn/nha-chinh-chu-hem-taxi-me-coc-p15-q8-gia-34ty-r285109,"Nhà Chính chủ hẻm taxi Mễ Cốc, P15, Q8. Giá 3.4tỷ",[285109],"[datetime.datetime(2023, 12, 8, 14, 56)]",Quận 8,3.4,110.0,,
13,https://batdongsan.vn/ban-nha-tran-xuan-soan-phuong-tan-hung-q7-12m2-hem-xe-may-gia-1x-ty-r285107,"Bán nhà Trần Xuân Soạn, phường Tân Hưng, Q.7 – 12m2, hẻm xe máy, giá 1.x tỷ",[285107],"[datetime.datetime(2023, 12, 8, 15, 36)]",Quận 7,,12.0,,
14,https://batdongsan.vn/giam-sau-17-ty-nhinh-8-ty-hxh-12m-ngay-hoa-binh-tan-phu-85m-ngang-8m-so-vuong-a4-r285102,"GIẢM SÂU 1,7 TỶ- NHỈNH 8 TỶ -HXH 12M NGAY HÒA BÌNH, TÂN PHÚ- 85m ngang 8m- sổ vuông A4",[285102],"[datetime.datetime(2023, 12, 8, 16, 52)]",Tân Phú,8.99,85.0,7.0,3.0
15,https://batdongsan.vn/hem-xe-hoi-nha-dep-lung-linh-ngay-emart-go-vap-53m24-13m-4-tang-so-vuong-a4-r285100,HẺM XE HƠI-NHÀ ĐẸP LUNG LINH NGAY EMART GÒ VẤP- 53M2(4 *13M)- 4 TẦNG-SỔ VUÔNG A4,[285100],"[datetime.datetime(2023, 12, 8, 17, 8)]",Gò Vấp,7.39,53.0,4.0,4.0
16,https://batdongsan.vn/ban-nha-mat-tien-kinh-doanh-bui-ta-han-an-phu-4x20m-an-ninh-cao-16-ty-thuong-luong-r285098,"Bán nhà mặt tiền kinh doanh Bùi Tá Hán, An Phú, 4x20m, an ninh cao, 16 tỷ thương lượng",[285098],"[datetime.datetime(2023, 12, 8, 17, 56)]",Quận 2,16.0,80.0,6.0,6.0
17,https://batdongsan.vn/ban-nha-dep-50m2-2-nguyen-khuyen-binh-thanh-nhinh-4-ty-hem-1-sec-rong-thoang-co-ban-cong-don-gio-r285097,"Bán nhà đẹp 50m2 *2 Nguyễn Khuyến, Bình Thạnh nhỉnh 4 tỷ hẻm 1 sẹc, rộng thoáng , có ban công đón gió",[285097],"[datetime.datetime(2023, 12, 8, 18, 0)]",Bình Thạnh,4.75,50.0,,
18,https://batdongsan.vn/ban-nha-hxh-bui-the-my-phuong-10-tan-binh-40m2-4-tang-gia-hat-dua-r285087,"Bán nhà HXH Bùi Thế Mỹ Phường 10 Tân Bình, 40m2, 4 tầng, giá hạt dưa",[285087],"[datetime.datetime(2023, 12, 9, 9, 31)]",Tân Bình,5.5,,,
19,https://batdongsan.vn/ban-nha-binh-thanh-80m2-5pn-5wc-dong-tien-18trthang-r285086,BÁN NHÀ BÌNH THẠNH 80M2 - 5PN 5WC - DÒNG TIỀN 18TR/THÁNG,[285086],"[datetime.datetime(2023, 12, 9, 9, 56)]",Bình Thạnh,9.39,80.0,,5.0
